Kwaidan (64),http://www.imdb.com/title/tt0058279/?ref_=nv_sr_1
Misery (90),http://www.imdb.com/title/tt0100157/?ref_=nv_sr_1
Nosferatu the Vampire (79),http://www.imdb.com/title/tt0079641/?ref_=nv_sr_2
Maniac (80),http://www.imdb.com/title/tt0081114/?ref_=nv_sr_4
Pontypool (2008),http://www.imdb.com/title/tt1226681/?ref_=nv_sr_1
Last House on the Left (72),http://www.imdb.com/title/tt0068833/?ref_=nv_sr_2
The Haunting (63),http://www.imdb.com/title/tt0057129/?ref_=nv_sr_4
Eraserhead,http://www.imdb.com/title/tt0074486/?ref_=nv_sr_2
Possession (81),http://www.imdb.com/title/tt0082933/?ref_=nv_sr_1
Silence of the Lambs,http://www.imdb.com/title/tt0102926/?ref_=nv_sr_1
Let the Right One in (2008),http://www.imdb.com/title/tt1139797/?ref_=nv_sr_1
The Wicker Man (75),http://www.imdb.com/title/tt0070917/?ref_=nv_sr_1
[Rec],http://www.imdb.com/title/tt1038988/?ref_=nv_sr_1
Invasion of the Body Snatchers (78),http://www.imdb.com/title/tt0077745/?ref_=nv_sr_1
Don't Look Now (73),http://www.imdb.com/title/tt0069995/?ref_=nv_sr_1
Suspiria (77),http://www.imdb.com/title/tt0076786/?ref_=nv_sr_1
Psycho,http://www.imdb.com/title/tt0054215/?ref_=nv_sr_1
Contagion (2011),http://www.imdb.com/title/tt1598778/?ref_=nv_sr_2
Carrie (76),http://www.imdb.com/title/tt0074285/?ref_=nv_sr_2
Nosferatu (22),http://www.imdb.com/title/tt0013442/?ref_=nv_sr_1
Under the Skin (2014),http://www.imdb.com/title/tt1441395/?ref_=nv_sr_1
Requiem for a Dream,http://www.imdb.com/title/tt0180093/?ref_=nv_sr_1
Nightmare on Elm Street,http://www.imdb.com/title/tt0087800/?ref_=nv_sr_2
Audition,http://www.imdb.com/title/tt0235198/?ref_=nv_sr_1
Eyes without a Face,http://www.imdb.com/title/tt0053459/?ref_=nv_sr_1
The Fly,http://www.imdb.com/title/tt0091064/?ref_=nv_sr_1
The Evil Dead,http://www.imdb.com/title/tt0083907/?ref_=nv_sr_2
Cabinet of Dr. Caligari,http://www.imdb.com/title/tt0010323/?ref_=nv_sr_1
Irreversible (2002),http://www.imdb.com/title/tt0290673/?ref_=nv_sr_1
The Descent,http://www.imdb.com/title/tt0435625/?ref_=nv_sr_1
Cannibal Holocaust,http://www.imdb.com/title/tt0078935/?ref_=nv_sr_1
Videodrome,http://www.imdb.com/title/tt0086541/?ref_=nv_sr_1
The Thing,http://www.imdb.com/title/tt0084787/?ref_=nv_sr_1
Rosemary's Baby,http://www.imdb.com/title/tt0063522/?ref_=nv_sr_1
Halloween,http://www.imdb.com/title/tt0077651/?ref_=nv_sr_3
A Serbian Film,http://www.imdb.com/title/tt1273235/?ref_=nv_sr_1
Blair Witch Project,http://www.imdb.com/title/tt0185937/?ref_=nv_sr_2
Black Christmas,http://www.imdb.com/title/tt0071222/?ref_=nv_sr_1
Freaks,http://www.imdb.com/title/tt0022913/?ref_=nv_sr_3
The Cabin in the Woods,http://www.imdb.com/title/tt1259521/?ref_=nv_sr_1
Night of the Living Dead,http://www.imdb.com/title/tt0063350/?ref_=nv_sr_1
Alien,http://www.imdb.com/title/tt0078748/?ref_=nv_sr_2
Jaws,http://www.imdb.com/title/tt0073195/?ref_=nv_sr_1
Inland Empire,http://www.imdb.com/title/tt0460829/?ref_=nv_sr_1
The Exorcist,http://www.imdb.com/title/tt0070047/?ref_=nv_sr_2
The Shining,http://www.imdb.com/title/tt0081505/?ref_=nv_sr_1
The Texas Chainsaw Massacre (74),http://www.imdb.com/title/tt0072271/?ref_=nv_sr_1
